detector+descriptor,frmae_index,camera_ttc,lidar_ttc,diff_ttc,diff_ttc_aver
HARRIS+FREAK,17,9.61104,nan,#VALUE!,
HARRIS+FREAK,18,8.39758,nan,#VALUE!,
HARRIS+SIFT,0,,,0,
HARRIS+SIFT,1,12.3201,10.9082,1.4119,#NAME?
HARRIS+SIFT,2,12.2199,63.8475,-51.6276,
HARRIS+SIFT,3,14.7467,-161.705,176.4517,
HARRIS+SIFT,4,16.5095,11.5792,4.9303,
HARRIS+SIFT,5,15.5839,13.6432,1.9407,
HARRIS+SIFT,6,12.8867,27.8744,-14.9877,
HARRIS+SIFT,7,11.9813,13.497,-1.5157,
HARRIS+SIFT,8,13.1207,17.6204,-4.4997,
HARRIS+SIFT,9,13.0207,3.93864,9.08206,
HARRIS+SIFT,10,11.3424,-13.4405,24.7829,
HARRIS+SIFT,11,12.5881,11.1552,1.4329,
HARRIS+SIFT,12,8.84817,11.6948,-2.84663,
HARRIS+SIFT,13,9.96028,13.4327,-3.47242,
HARRIS+SIFT,14,9.34284,5.66097,3.68187,
HARRIS+SIFT,15,8.36357,#NAME?,#NAME?,
HARRIS+SIFT,16,10.2781,7.29175,2.98635,
HARRIS+SIFT,17,9.61104,12.5848,-2.97376,
HARRIS+SIFT,18,8.39758,#NAME?,#NAME?,
FAST+BRISK,0,,,0,
FAST+BRISK,1,12.3201,12.3541,-0.034,#NAME?
FAST+BRISK,2,12.2199,12.3908,-0.1709,
FAST+BRISK,3,14.7467,12.9751,1.7716,
FAST+BRISK,4,16.5095,13.0276,3.4819,
FAST+BRISK,5,15.5839,#NAME?,#NAME?,
FAST+BRISK,6,12.8867,13.0932,-0.2065,
FAST+BRISK,7,11.9813,12.093,-0.1117,
FAST+BRISK,8,13.1207,11.4003,1.7204,
FAST+BRISK,9,13.0207,11.9612,1.0595,
FAST+BRISK,10,11.3424,13.5598,-2.2174,
FAST+BRISK,11,12.5881,13.1502,-0.5621,
FAST+BRISK,12,8.84817,12.2294,-3.38123,
FAST+BRISK,13,9.96028,11.9837,-2.02342,
FAST+BRISK,14,9.34284,11.6152,-2.27236,
FAST+BRISK,15,8.36357,11.7805,-3.41693,
FAST+BRISK,16,10.2781,12.6953,-2.4172,
FAST+BRISK,17,9.61104,8.69919,0.91185,
FAST+BRISK,18,8.39758,11.9006,-3.50302,
FAST+BRIEF,0,,,0,
FAST+BRIEF,1,12.3201,11.2952,1.0249,-0.527368889
FAST+BRIEF,2,12.2199,10.6644,1.5555,
FAST+BRIEF,3,14.7467,12.7728,1.9739,
FAST+BRIEF,4,16.5095,13.6141,2.8954,
FAST+BRIEF,5,15.5839,18.831,-3.2471,
FAST+BRIEF,6,12.8867,13.5019,-0.6152,
FAST+BRIEF,7,11.9813,12.075,-0.0937,
FAST+BRIEF,8,13.1207,12.0107,1.11,
FAST+BRIEF,9,13.0207,12.3427,0.678,
FAST+BRIEF,10,11.3424,12.5213,-1.1789,
FAST+BRIEF,11,12.5881,14.2159,-1.6278,
FAST+BRIEF,12,8.84817,11.0543,-2.20613,
FAST+BRIEF,13,9.96028,12.0599,-2.09962,
FAST+BRIEF,14,9.34284,11.7063,-2.36346,
FAST+BRIEF,15,8.36357,11.5866,-3.22303,
FAST+BRIEF,16,10.2781,11.7158,-1.4377,
FAST+BRIEF,17,9.61104,7.56242,2.04862,
FAST+BRIEF,18,8.39758,11.0839,-2.68632,
FAST+ORB,0,,,0,
FAST+ORB,1,12.3201,12.0767,0.2434,-1.439484444
FAST+ORB,2,12.2199,10.5988,1.6211,
FAST+ORB,3,14.7467,12.6239,2.1228,
FAST+ORB,4,16.5095,13.871,2.6385,
FAST+ORB,5,15.5839,32.168,-16.5841,
FAST+ORB,6,12.8867,12.7186,0.1681,
FAST+ORB,7,11.9813,12.7282,-0.7469,
FAST+ORB,8,13.1207,12.0468,1.0739,
FAST+ORB,9,13.0207,11.8068,1.2139,
FAST+ORB,10,11.3424,13.5598,-2.2174,
FAST+ORB,11,12.5881,13.7238,-1.1357,
FAST+ORB,12,8.84817,11.4787,-2.63053,
FAST+ORB,13,9.96028,12.511,-2.55072,
FAST+ORB,14,9.34284,11.2847,-1.94186,
FAST+ORB,15,8.36357,10.5244,-2.16083,
FAST+ORB,16,10.2781,11.7538,-1.4757,
FAST+ORB,17,9.61104,9.8071,-0.19606,
FAST+ORB,18,8.39758,11.7502,-3.35262,
FAST+FREAK,0,,,0,
FAST+FREAK,1,12.3201,11.9301,0.39,-4.951543889
FAST+FREAK,2,12.2199,24.1535,-11.9336,
FAST+FREAK,3,14.7467,13.8858,0.8609,
FAST+FREAK,4,16.5095,14.3697,2.1398,
FAST+FREAK,5,15.5839,81.994,-66.4101,
FAST+FREAK,6,12.8867,12.3469,0.5398,
FAST+FREAK,7,11.9813,12.4713,-0.49,
FAST+FREAK,8,13.1207,11.5751,1.5456,
FAST+FREAK,9,13.0207,12.3427,0.678,
FAST+FREAK,10,11.3424,13.3448,-2.0024,
FAST+FREAK,11,12.5881,12.9992,-0.4111,
FAST+FREAK,12,8.84817,11.6118,-2.76363,
FAST+FREAK,13,9.96028,11.8227,-1.86242,
FAST+FREAK,14,9.34284,11.3502,-2.00736,
FAST+FREAK,15,8.36357,11.1267,-2.76313,
FAST+FREAK,16,10.2781,12.2695,-1.9914,
FAST+FREAK,17,9.61104,8.52557,1.08547,
FAST+FREAK,18,8.39758,12.1298,-3.73222,
FAST+SIFT,0,,,0,
FAST+SIFT,1,12.3201,11.6421,0.678,-1.384700556
FAST+SIFT,2,12.2199,11.7417,0.4782,
FAST+SIFT,3,14.7467,14.0554,0.6913,
FAST+SIFT,4,16.5095,14.745,1.7645,
FAST+SIFT,5,15.5839,28.4716,-12.8877,
FAST+SIFT,6,12.8867,13.2095,-0.3228,
FAST+SIFT,7,11.9813,12.2695,-0.2882,
FAST+SIFT,8,13.1207,12.7588,0.3619,
FAST+SIFT,9,13.0207,12.1408,0.8799,
FAST+SIFT,10,11.3424,13.8308,-2.4884,
FAST+SIFT,11,12.5881,14.3108,-1.7227,
FAST+SIFT,12,8.84817,11.7682,-2.92003,
FAST+SIFT,13,9.96028,12.4311,-2.47082,
FAST+SIFT,14,9.34284,11.5341,-2.19126,
FAST+SIFT,15,8.36357,11.5342,-3.17063,
FAST+SIFT,16,10.2781,11.2022,-0.9241,
FAST+SIFT,17,9.61104,7.57839,2.03265,
FAST+SIFT,18,8.39758,10.822,-2.42442,
BRISK+BRISK,0,,,0,
BRISK+BRISK,1,12.3201,13.4086,-1.0885,-2.922817222
BRISK+BRISK,2,12.2199,21.5276,-9.3077,
BRISK+BRISK,3,14.7467,12.625,2.1217,
BRISK+BRISK,4,16.5095,15.2037,1.3058,
BRISK+BRISK,5,15.5839,27.6679,-12.084,
BRISK+BRISK,6,12.8867,18.3114,-5.4247,
BRISK+BRISK,7,11.9813,17.1427,-5.1614,
BRISK+BRISK,8,13.1207,16.0991,-2.9784,
BRISK+BRISK,9,13.0207,14.801,-1.7803,
BRISK+BRISK,10,11.3424,13.9297,-2.5873,
BRISK+BRISK,11,12.5881,13.1359,-0.5478,
BRISK+BRISK,12,8.84817,11.3409,-2.49273,
BRISK+BRISK,13,9.96028,11.8565,-1.89622,
BRISK+BRISK,14,9.34284,12.4013,-3.05846,
BRISK+BRISK,15,8.36357,12.7089,-4.34533,
BRISK+BRISK,16,10.2781,11.503,-1.2249,
BRISK+BRISK,17,9.61104,9.29379,0.31725,
BRISK+BRISK,18,8.39758,10.7753,-2.37772,
BRISK+BRIEF,0,,,0,
BRISK+BRIEF,1,12.3201,12.8448,-0.5247,-2.567306667
BRISK+BRIEF,2,12.2199,16.8618,-4.6419,
BRISK+BRIEF,3,14.7467,11.6672,3.0795,
BRISK+BRIEF,4,16.5095,20.5725,-4.063,
BRISK+BRIEF,5,15.5839,19.7052,-4.1213,
BRISK+BRIEF,6,12.8867,17.5642,-4.6775,
BRISK+BRIEF,7,11.9813,15.5883,-3.607,
BRISK+BRIEF,8,13.1207,18.7451,-5.6244,
BRISK+BRIEF,9,13.0207,15.4645,-2.4438,
BRISK+BRIEF,10,11.3424,11.4853,-0.1429,
BRISK+BRIEF,11,12.5881,13.3676,-0.7795,
BRISK+BRIEF,12,8.84817,14.3096,-5.46143,
BRISK+BRIEF,13,9.96028,12.3266,-2.36632,
BRISK+BRIEF,14,9.34284,10.9457,-1.60286,
BRISK+BRIEF,15,8.36357,11.6294,-3.26583,
BRISK+BRIEF,16,10.2781,12.1739,-1.8958,
BRISK+BRIEF,17,9.61104,11.3792,-1.76816,
BRISK+BRIEF,18,8.39758,10.7022,-2.30462,
BRISK+ORB,0,,,0,
BRISK+ORB,1,12.3201,14.8431,-2.523,-2.604584444
BRISK+ORB,2,12.2199,18.7802,-6.5603,
BRISK+ORB,3,14.7467,13.2755,1.4712,
BRISK+ORB,4,16.5095,16.3966,0.1129,
BRISK+ORB,5,15.5839,20.1467,-4.5628,
BRISK+ORB,6,12.8867,19.9254,-7.0387,
BRISK+ORB,7,11.9813,18.2074,-6.2261,
BRISK+ORB,8,13.1207,16.9607,-3.84,
BRISK+ORB,9,13.0207,14.5576,-1.5369,
BRISK+ORB,10,11.3424,11.3267,0.0157,
BRISK+ORB,11,12.5881,13.3173,-0.7292,
BRISK+ORB,12,8.84817,11.3844,-2.53623,
BRISK+ORB,13,9.96028,11.8035,-1.84322,
BRISK+ORB,14,9.34284,12.7655,-3.42266,
BRISK+ORB,15,8.36357,11.2164,-2.85283,
BRISK+ORB,16,10.2781,11.556,-1.2779,
BRISK+ORB,17,9.61104,10.2454,-0.63436,
BRISK+ORB,18,8.39758,11.2957,-2.89812,
BRISK+FREAK,0,,,0,
BRISK+FREAK,1,12.3201,12.7581,-0.438,-2.650596111
BRISK+FREAK,2,12.2199,24.137,-11.9171,
BRISK+FREAK,3,14.7467,13.9605,0.7862,
BRISK+FREAK,4,16.5095,13.9445,2.565,
BRISK+FREAK,5,15.5839,23.0697,-7.4858,
BRISK+FREAK,6,12.8867,16.8726,-3.9859,
BRISK+FREAK,7,11.9813,15.5199,-3.5386,
BRISK+FREAK,8,13.1207,18.7996,-5.6789,
BRISK+FREAK,9,13.0207,14.9704,-1.9497,
BRISK+FREAK,10,11.3424,13.7438,-2.4014,
BRISK+FREAK,11,12.5881,12.8798,-0.2917,
BRISK+FREAK,12,8.84817,11.4537,-2.60553,
BRISK+FREAK,13,9.96028,11.4422,-1.48192,
BRISK+FREAK,14,9.34284,11.2969,-1.95406,
BRISK+FREAK,15,8.36357,13.3442,-4.98063,
BRISK+FREAK,16,10.2781,10.3718,-0.0937,
BRISK+FREAK,17,9.61104,9.33041,0.28063,
BRISK+FREAK,18,8.39758,10.9372,-2.53962,
BRISK+SIFT,0,,,0,
BRISK+SIFT,1,12.3201,12.6196,-0.2995,-3.44769
BRISK+SIFT,2,12.2199,15.9861,-3.7662,
BRISK+SIFT,3,14.7467,16.6955,-1.9488,
BRISK+SIFT,4,16.5095,13.4784,3.0311,
BRISK+SIFT,5,15.5839,29.4296,-13.8457,
BRISK+SIFT,6,12.8867,20.1864,-7.2997,
BRISK+SIFT,7,11.9813,14.3733,-2.392,
BRISK+SIFT,8,13.1207,17.3507,-4.23,
BRISK+SIFT,9,13.0207,19.9247,-6.904,
BRISK+SIFT,10,11.3424,14.5525,-3.2101,
BRISK+SIFT,11,12.5881,14.8409,-2.2528,
BRISK+SIFT,12,8.84817,11.515,-2.66683,
BRISK+SIFT,13,9.96028,13.8915,-3.93122,
BRISK+SIFT,14,9.34284,10.2385,-0.89566,
BRISK+SIFT,15,8.36357,14.6058,-6.24223,
BRISK+SIFT,16,10.2781,10.4527,-0.1746,
BRISK+SIFT,17,9.61104,10.7262,-1.11516,
BRISK+SIFT,18,8.39758,12.3126,-3.91502,
ORB+BRISK,0,,,0,
ORB+BRISK,1,12.3201,15.0326,-2.7125,#NAME?
ORB+BRISK,2,12.2199,13.0953,-0.8754,
ORB+BRISK,3,14.7467,12.4454,2.3013,
ORB+BRISK,4,16.5095,29.9201,-13.4106,
ORB+BRISK,5,15.5839,156.224,-140.6401,
ORB+BRISK,6,12.8867,11.1136,1.7731,
ORB+BRISK,7,11.9813,13.6966,-1.7153,
ORB+BRISK,8,13.1207,10.9433,2.1774,
ORB+BRISK,9,13.0207,13.1005,-0.0798,
ORB+BRISK,10,11.3424,19.472,-8.1296,
ORB+BRISK,11,12.5881,8.34928,4.23882,
ORB+BRISK,12,8.84817,#NAME?,#NAME?,
ORB+BRISK,13,9.96028,8.22394,1.73634,
ORB+BRISK,14,9.34284,9.47411,-0.13127,
